Sexo;Provincia;Municipio;Fecha;Total
Total;Madrid;;1 de enero de 2022;6750336
Total;Madrid;Acebeda, La;1 de enero de 2022;62
Total;Madrid;Ajalvir;1 de enero de 2022;4751
Total;Madrid;Alameda del Valle;1 de enero de 2022;241
Total;Madrid;Álamo, El;1 de enero de 2022;10123
Total;Madrid;Alcala de Henares;1 de enero de 2022;196888
Total;Madrid;Alcobendas;1 de enero de 2022;117041
Total;Madrid;Alcorcon;1 de enero de 2022;170296
Total;Madrid;Aldea del Fresno;1 de enero de 2022;3227
Total;Madrid;Algete;1 de enero de 2022;20767
Total;Madrid;Alpedrete;1 de enero de 2022;15006
Total;Madrid;Ambite;1 de enero de 2022;648
Total;Madrid;Anchuelo;1 de enero de 2022;1354
Total;Madrid;Aranjuez;1 de enero de 2022;59762
Total;Madrid;Arganda del Rey;1 de enero de 2022;57553
Total;Madrid;Arroyomolinos;1 de enero de 2022;34833
Total;Madrid;Atazar, El;1 de enero de 2022;107
Total;Madrid;Batres;1 de enero de 2022;1823
Total;Madrid;Becerril de la Sierra;1 de enero de 2022;6197
Total;Madrid;Belmonte de Tajo;1 de enero de 2022;1769
Total;Madrid;Berrueco, El;1 de enero de 2022;801
Total;Madrid;Berzosa del Lozoya;1 de enero de 2022;227
Total;Madrid;Boadilla del Monte;1 de enero de 2022;62627
Total;Madrid;Boalo, El;1 de enero de 2022;8216
Total;Madrid;Braojos;1 de enero de 2022;218
Total;Madrid;Brea de Tajo;1 de enero de 2022;541
Total;Madrid;Brunete;1 de enero de 2022;10845
Total;Madrid;Buitrago del Lozoya;1 de enero de 2022;1948
Total;Madrid;Bustarviejo;1 de enero de 2022;2706
Total;Madrid;Cabanillas de la Sierra;1 de enero de 2022;874
Total;Madrid;Cabrera, La;1 de enero de 2022;2805
Total;Madrid;Cadalso de los Vidrios;1 de enero de 2022;3193
Total;Madrid;Camarma de Esteruelas;1 de enero de 2022;7595
Total;Madrid;Campo Real;1 de enero de 2022;6651
Total;Madrid;Canencia;1 de enero de 2022;455
Total;Madrid;Carabaña;1 de enero de 2022;2210
Total;Madrid;Casarrubuelos;1 de enero de 2022;3961
Total;Madrid;Cenicientos;1 de enero de 2022;2089
Total;Madrid;Cercedilla;1 de enero de 2022;7533
Total;Madrid;Cervera de Buitrago;1 de enero de 2022;169
Total;Madrid;Chapineria;1 de enero de 2022;2512
Total;Madrid;Chinchon;1 de enero de 2022;5658
Total;Madrid;Ciempozuelos;1 de enero de 2022;25383
Total;Madrid;Cobeña;1 de enero de 2022;7551
Total;Madrid;Collado Mediano;1 de enero de 2022;7456
Total;Madrid;Collado Villalba;1 de enero de 2022;64263
Total;Madrid;Colmenar de Oreja;1 de enero de 2022;8462
Total;Madrid;Colmenar del Arroyo;1 de enero de 2022;1936
Total;Madrid;Colmenar Viejo;1 de enero de 2022;53389
Total;Madrid;Colmenarejo;1 de enero de 2022;9473
Total;Madrid;Corpa;1 de enero de 2022;764
Total;Madrid;Coslada;1 de enero de 2022;80596
Total;Madrid;Cubas de la Sagra;1 de enero de 2022;6698
Total;Madrid;Daganzo de Arriba;1 de enero de 2022;10650
Total;Madrid;Escorial, El;1 de enero de 2022;16618
Total;Madrid;Estremera;1 de enero de 2022;1410
Total;Madrid;Fresnedillas de la Oliva;1 de enero de 2022;1784
Total;Madrid;Fresno de Torote;1 de enero de 2022;2444
Total;Madrid;Fuenlabrada;1 de enero de 2022;189891
Total;Madrid;Fuente el Saz de Jarama;1 de enero de 2022;7034
Total;Madrid;Fuentidueña de Tajo;1 de enero de 2022;2250
Total;Madrid;Galapagar;1 de enero de 2022;34834
Total;Madrid;Garganta de los Montes;1 de enero de 2022;395
Total;Madrid;Gargantilla del Lozoya y Pinilla de Buitrago;1 de enero de 2022;361
Total;Madrid;Gascones;1 de enero de 2022;212
Total;Madrid;Getafe;1 de enero de 2022;183219
Total;Madrid;Griñon;1 de enero de 2022;10491
Total;Madrid;Guadalix de la Sierra;1 de enero de 2022;6672
Total;Madrid;Guadarrama;1 de enero de 2022;16921
Total;Madrid;Hiruela, La;1 de enero de 2022;75
Total;Madrid;Horcajo de la Sierra-Aoslos;1 de enero de 2022;201
Total;Madrid;Horcajuelo de la Sierra;1 de enero de 2022;110
Total;Madrid;Hoyo de Manzanares;1 de enero de 2022;8811
Total;Madrid;Humanes de Madrid;1 de enero de 2022;19838
Total;Madrid;Leganes;1 de enero de 2022;186660
Total;Madrid;Loeches;1 de enero de 2022;8944
Total;Madrid;Lozoya;1 de enero de 2022;602
Total;Madrid;Lozoyuela-Navas-Sieteiglesias;1 de enero de 2022;1461
Total;Madrid;Madarcos;1 de enero de 2022;63
Total;Madrid;Madrid;1 de enero de 2022;3280782
Total;Madrid;Majadahonda;1 de enero de 2022;72179
Total;Madrid;Manzanares el Real;1 de enero de 2022;9247
Total;Madrid;Meco;1 de enero de 2022;15143
Total;Madrid;Mejorada del Campo;1 de enero de 2022;23897
Total;Madrid;Miraflores de la Sierra;1 de enero de 2022;6711
Total;Madrid;Molar, El;1 de enero de 2022;9437
Total;Madrid;Molinos, Los;1 de enero de 2022;4699
Total;Madrid;Montejo de la Sierra;1 de enero de 2022;372
Total;Madrid;Moraleja de Enmedio;1 de enero de 2022;5368
Total;Madrid;Moralzarzal;1 de enero de 2022;13905
Total;Madrid;Morata de Tajuña;1 de enero de 2022;7960
Total;Madrid;Mostoles;1 de enero de 2022;208761
Total;Madrid;Navacerrada;1 de enero de 2022;3218
Total;Madrid;Navalafuente;1 de enero de 2022;1574
Total;Madrid;Navalagamella;1 de enero de 2022;2809
Total;Madrid;Navalcarnero;1 de enero de 2022;31379
Total;Madrid;Navarredonda y San Mames;1 de enero de 2022;138
Total;Madrid;Navas del Rey;1 de enero de 2022;3134
